"";"Nr";"Object";"N_Measurements";"purpose";"Special";"Commentary";"Site";"Region";"X"
"238";641;"ESS_4";1;"pottery";"";"";"Essouk";"Essouk";NA
"239";642;"ESS_4";2;"pottery";"";"";"Essouk";"Essouk";NA
"240";643;"ESS_4";3;"pottery";"";"";"Essouk";"Essouk";NA
"241";644;"ESS_5";1;"pottery";"";"";"Essouk";"Essouk";NA
"242";645;"ESS_5";2;"pottery";"";"";"Essouk";"Essouk";NA
"243";646;"ESS_5";3;"pottery";"";"";"Essouk";"Essouk";NA
"244";653;"ESS_6";1;"pottery";"";"";"Essouk";"Essouk";NA
"245";654;"ESS_6";2;"pottery";"";"";"Essouk";"Essouk";NA
"246";655;"ESS_6";3;"pottery";"";"";"Essouk";"Essouk";NA
"247";656;"ESS_8";1;"pottery";"";"";"Essouk";"Essouk";NA
"248";657;"ESS_8";2;"pottery";"";"";"Essouk";"Essouk";NA
"249";658;"ESS_8";3;"pottery";"";"";"Essouk";"Essouk";NA
"250";662;"ESS_10";1;"pottery";"";"";"Essouk";"Essouk";NA
"251";663;"ESS_10";2;"pottery";"";"";"Essouk";"Essouk";NA
"252";664;"ESS_10";3;"pottery";"";"";"Essouk";"Essouk";NA
"253";666;"ESS_11";1;"pottery";"";"";"Essouk";"Essouk";NA
"254";667;"ESS_11";2;"pottery";"";"";"Essouk";"Essouk";NA
"255";668;"ESS_11";3;"pottery";"";"";"Essouk";"Essouk";NA
"256";669;"ESS_12";1;"pottery";"";"";"Essouk";"Essouk";NA
"257";670;"ESS_12";2;"pottery";"";"";"Essouk";"Essouk";NA
"258";671;"ESS_12";3;"pottery";"";"";"Essouk";"Essouk";NA
"259";672;"ESS_13";1;"pottery";"";"";"Essouk";"Essouk";NA
"260";673;"ESS_13";2;"pottery";"";"";"Essouk";"Essouk";NA
"261";674;"ESS_13";3;"pottery";"";"";"Essouk";"Essouk";NA
"262";675;"ESS_14";1;"pottery";"";"";"Essouk";"Essouk";NA
"263";676;"ESS_14";2;"pottery";"";"";"Essouk";"Essouk";NA
"264";677;"ESS_14";3;"pottery";"";"";"Essouk";"Essouk";NA
"265";678;"ESS_16";1;"pottery";"";"";"Essouk";"Essouk";NA
"266";690;"ESS_16";2;"pottery";"";"";"Essouk";"Essouk";NA
"267";691;"ESS_16";3;"pottery";"";"";"Essouk";"Essouk";NA
"268";692;"ESS_17";1;"pottery";"";"";"Essouk";"Essouk";NA
"269";693;"ESS_17";2;"pottery";"";"";"Essouk";"Essouk";NA
"270";694;"ESS_17";3;"pottery";"";"";"Essouk";"Essouk";NA
"271";695;"ESS_18";1;"pottery";"";"";"Essouk";"Essouk";NA
"272";696;"ESS_18";2;"pottery";"";"";"Essouk";"Essouk";NA
"273";697;"ESS_18";3;"pottery";"";"";"Essouk";"Essouk";NA
"274";698;"ESS_21";1;"pottery";"";"";"Essouk";"Essouk";NA
"275";699;"ESS_21";2;"pottery";"";"";"Essouk";"Essouk";NA
"276";700;"ESS_21";3;"pottery";"";"";"Essouk";"Essouk";NA
"277";712;"DA_77";1;"pottery";"";"";"Dotsm Awaki";"Zinder";NA
"278";713;"DA_77";2;"pottery";"";"";"Dotsm Awaki";"Zinder";NA
"279";714;"DA_77";3;"pottery";"";"";"Dotsm Awaki";"Zinder";NA
"280";715;"DA_78";1;"pottery";"";"";"Dotsm Awaki";"Zinder";NA
"281";716;"DA_78";2;"pottery";"";"";"Dotsm Awaki";"Zinder";NA
"282";717;"DA_78";3;"pottery";"";"";"Dotsm Awaki";"Zinder";NA
"283";750;"KAM_DR";1;"pottery";"";"Doppelrand";"Kamaka";"Lake_Chad_East";NA
"284";751;"KAM_DR";2;"pottery";"";"Doppelrand";"Kamaka";"Lake_Chad_East";NA
"285";752;"KAM_DR";3;"pottery";"";"Doppelrand";"Kamaka";"Lake_Chad_East";NA
"286";756;"KAM_3";1;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"287";757;"KAM_3";2;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"288";758;"KAM_3";3;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"289";760;"TIE_82";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"290";761;"TIE_82";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"291";762;"TIE_82";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"292";763;"TIE_67";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"293";764;"TIE_67";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"294";765;"TIE_67";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"295";766;"KAM_2";1;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"296";767;"KAM_2";2;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"297";768;"KAM_2";3;"pottery";"";"";"Kamaka";"Lake_Chad_East";NA
"298";775;"ZIL_2";1;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"299";776;"ZIL_2";2;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"300";777;"ZIL_2";3;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"301";778;"TIE_63";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"302";779;"TIE_63";2;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"303";780;"ZIL_3";1;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"304";781;"TIE_63";3;"pottery";"";"";"Tie";"Lake_Chad_East";NA
"305";782;"ZIL_3";2;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"306";783;"ZIL_3";3;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"307";799;"ZIL_8";1;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"308";800;"ZIL_8";2;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"309";801;"ZIL_8";3;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"310";802;"ZIL_9";1;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"311";803;"ZIL_9";2;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
"312";804;"ZIL_9";3;"pottery";"";"";"Zillum";"Lake_Chad_Southwest";NA
